N,P,K,temperature,humidity,ph,rainfall,label
105.8,12.9,47.6,28.59,88.31,6.86,32.11,muskmelon
38.0,72.4,22.3,30.06,39.59,6.71,119.52,pigeonpeas
102.5,24.8,50.3,25.79,93.28,6.25,36.66,muskmelon
22.5,15.8,34.2,25.39,90.06,6.81,151.35,coconut
66.1,54.1,42.2,25.83,79.36,6.89,188.33,jute
90.0,76.0,47.1,26.5,83.06,5.86,101.49,banana
39.1,78.5,17.8,28.32,70.51,7.15,87.88,blackgram
43.1,68.1,49.0,34.87,91.7,6.46,107.47,papaya
108.4,84.6,50.5,28.84,77.59,5.61,97.16,banana
130.1,59.3,22.9,29.71,80.61,5.62,76.08,cotton
103.7,17.8,53.3,27.35,57.91,6.28,50.1,watermelon
19.1,20.3,14.2,26.81,85.44,7.23,129.7,orange
105.1,23.4,30.1,18.72,68.87,6.77,191.94,coffee
35.4,62.7,87.5,21.22,18.69,6.26,95.46,chickpea
76.7,58.0,47.3,20.32,75.4,6.06,231.06,rice
16.6,43.9,19.1,30.76,56.45,4.64,49.88,mothbeans
17.0,24.3,24.2,29.8,91.02,6.68,110.69,orange
15.8,17.4,37.2,28.33,47.33,6.18,80.68,mango
91.7,29.1,33.8,24.99,60.5,6.83,151.66,coffee
29.0,57.9,21.4,30.3,50.08,6.0,53.28,mothbeans
51.7,59.5,24.5,27.19,64.89,7.13,71.81,blackgram
21.7,10.3,34.9,22.4,87.75,6.86,82.54,pomegranate
81.3,36.6,18.4,19.21,56.27,7.19,76.12,maize
23.5,55.1,16.4,29.81,52.64,4.79,55.6,mothbeans
132.5,40.4,23.0,25.2,72.83,6.64,63.64,cotton
43.7,47.6,47.8,29.01,92.93,6.15,112.57,papaya
39.9,75.6,23.4,21.49,50.18,5.6,109.49,pigeonpeas
29.7,51.8,23.5,27.24,56.91,5.69,55.08,mothbeans
19.1,79.2,20.6,17.43,22.06,5.64,82.2,kidneybeans
100.9,26.0,32.7,25.39,68.15,6.92,176.76,coffee
45.0,59.2,18.8,31.17,74.55,7.09,87.68,blackgram
23.7,73.5,21.8,19.85,65.29,5.69,43.9,lentil
15.7,11.7,27.8,28.53,93.49,5.85,223.52,coconut
78.2,48.6,35.5,21.32,81.96,6.03,208.37,rice
17.5,15.1,14.4,22.67,93.96,7.04,103.65,orange
99.9,22.7,53.7,26.19,86.36,6.63,29.52,muskmelon
106.6,22.3,46.9,29.61,59.36,6.3,45.93,watermelon
22.6,79.2,19.2,21.89,22.68,6.13,68.3,kidneybeans
90.4,14.7,51.4,24.07,55.49,6.85,53.68,watermelon
104.7,85.1,48.3,30.9,81.67,5.56,109.6,banana
21.6,70.0,18.0,28.0,56.57,5.65,151.39,pigeonpeas
26.0,50.5,16.9,24.26,47.11,5.39,55.43,mothbeans
91.2,74.7,53.3,29.6,78.51,5.99,122.01,banana
66.8,43.8,42.7,23.15,83.46,6.82,196.61,jute
115.8,40.0,15.7,28.18,73.75,6.41,87.51,cotton
11.3,23.9,38.7,22.67,94.12,6.02,81.61,pomegranate
30.8,61.2,22.1,23.99,45.49,6.47,193.63,pigeonpeas
25.0,69.1,84.3,24.78,20.69,6.7,64.56,chickpea
89.8,36.0,20.7,24.86,72.54,6.28,101.06,maize
17.9,14.1,37.8,29.0,89.55,5.72,174.97,coconut
10.8,21.7,42.7,23.59,90.08,5.85,98.4,pomegranate
98.5,30.4,49.4,20.3,88.37,6.29,249.3,rice
21.8,60.1,18.1,21.38,37.52,6.14,190.78,pigeonpeas
24.7,135.9,198.3,15.11,83.48,6.38,78.85,grapes
43.2,63.4,20.2,26.98,72.08,6.28,62.55,blackgram
18.0,12.8,28.8,27.13,88.6,6.13,139.89,coconut
29.1,63.4,75.5,17.19,23.15,6.55,80.72,chickpea
50.2,74.2,16.1,31.44,72.51,6.87,79.39,blackgram
29.0,12.9,36.5,25.16,88.75,5.67,165.25,coconut
64.7,52.3,17.7,22.99,68.03,6.96,70.32,maize
113.4,76.3,53.3,29.22,84.46,6.03,129.72,banana
20.3,37.3,19.9,33.21,41.0,5.08,45.19,mothbeans
102.3,85.7,52.0,29.27,75.52,6.62,117.5,banana
29.5,77.7,22.2,18.73,24.09,5.63,99.53,kidneybeans
17.0,10.8,30.6,23.02,90.38,6.26,53.23,pomegranate
28.7,79.4,87.8,23.58,15.46,7.72,96.91,chickpea
28.4,15.1,40.0,25.02,85.28,6.74,149.95,coconut
10.8,24.3,12.1,29.08,85.68,6.16,115.27,orange
29.5,65.9,20.8,25.23,56.56,5.92,135.31,pigeonpeas
102.9,76.9,53.9,25.24,84.14,6.58,107.85,banana
112.1,86.6,46.1,29.32,80.0,6.66,145.19,banana
24.3,134.6,194.2,23.64,88.04,6.08,116.31,apple
27.4,78.9,23.2,15.01,22.45,5.55,72.88,kidneybeans
106.6,11.6,46.1,28.0,85.99,6.62,27.16,muskmelon
21.6,36.2,23.2,30.78,83.82,6.53,59.99,mungbean
29.1,55.5,24.8,26.6,64.24,5.36,48.69,mothbeans
27.3,19.8,37.6,31.61,87.73,5.75,178.4,coconut
60.4,39.1,24.0,25.87,66.95,6.64,93.25,maize
22.7,137.8,194.1,20.49,90.56,5.93,113.27,apple
28.6,24.2,25.1,28.25,85.25,6.86,181.84,coconut
25.4,58.4,18.0,17.51,23.63,5.78,70.54,kidneybeans
23.9,45.8,16.6,25.17,53.67,6.3,48.6,mothbeans
20.1,38.2,18.9,26.14,86.02,6.31,41.46,mungbean
21.9,67.5,15.7,24.16,67.55,6.65,54.56,lentil
97.4,24.4,53.2,30.83,57.58,6.27,45.71,watermelon
21.5,58.0,18.5,25.38,78.06,6.63,45.49,mungbean
37.4,78.7,23.9,23.87,57.31,6.21,149.75,pigeonpeas
34.9,61.8,21.9,21.7,62.87,6.45,132.45,pigeonpeas
27.7,59.7,15.8,27.75,43.4,6.73,165.95,pigeonpeas
27.4,63.4,16.7,19.98,23.78,5.6,71.99,kidneybeans
71.7,61.9,15.1,18.77,59.16,5.84,69.07,maize
90.3,55.8,43.8,26.03,87.21,6.02,155.36,jute
21.3,65.5,80.2,22.85,24.79,6.51,86.17,chickpea
24.4,130.2,193.8,23.44,92.0,6.21,118.29,apple
17.7,17.9,23.1,26.62,87.79,6.35,126.23,orange
120.0,37.6,17.0,25.84,83.31,6.35,87.26,cotton
83.4,58.2,41.5,22.72,84.65,6.19,204.56,rice
27.8,21.6,26.0,29.35,87.35,6.34,225.69,coconut
19.8,140.3,200.3,22.25,83.49,6.31,61.99,grapes
17.2,71.2,16.7,25.85,69.2,5.74,68.87,lentil
95.3,16.9,50.5,31.59,69.98,6.24,54.54,watermelon
25.5,132.8,203.1,17.89,80.43,6.94,67.56,grapes
22.9,128.7,197.8,21.55,82.09,6.71,77.22,grapes
41.2,72.3,22.3,34.95,64.31,6.81,76.0,blackgram
12.4,18.4,44.2,18.03,87.38,6.91,47.83,pomegranate
27.1,62.7,91.1,21.31,17.42,7.22,88.65,chickpea
20.6,11.6,32.4,31.12,93.87,5.52,218.63,coconut
94.2,49.8,17.5,25.84,63.91,6.52,77.96,maize
28.8,75.0,19.5,24.47,68.79,6.24,45.77,lentil
16.0,138.1,202.1,17.89,83.32,6.43,77.78,grapes
96.7,20.4,52.0,29.63,62.39,6.91,49.78,watermelon
73.2,56.9,43.4,27.76,85.8,6.66,192.83,jute
93.7,21.3,27.9,22.16,57.69,6.74,188.71,coffee
119.7,23.9,31.0,26.36,64.6,6.75,159.81,coffee
28.9,65.1,24.1,17.25,21.34,5.73,92.02,kidneybeans
86.0,37.1,36.8,25.38,83.07,6.15,159.26,jute
27.7,58.7,23.8,31.39,46.94,5.06,64.08,mothbeans
18.6,67.8,16.0,17.69,21.41,6.15,107.53,kidneybeans
107.1,71.3,46.4,28.74,77.08,6.16,122.69,banana
27.5,55.4,18.8,17.36,18.14,5.62,80.68,kidneybeans
20.4,14.4,27.6,30.54,94.55,6.12,225.24,coconut
47.3,69.2,47.1,30.05,87.01,6.79,126.21,papaya
49.6,56.4,48.1,32.07,89.51,6.96,68.69,papaya
17.7,41.7,17.0,26.73,79.6,6.83,54.7,mungbean
23.3,20.4,26.9,32.89,50.25,5.8,78.07,mango
18.9,15.5,42.1,21.66,86.17,5.69,75.26,pomegranate
91.3,16.0,45.2,26.64,63.05,6.91,56.93,watermelon
29.7,70.1,18.6,19.53,18.86,6.39,85.15,kidneybeans
81.1,56.9,15.8,18.54,59.94,6.02,103.59,maize
23.5,123.7,197.0,23.32,85.15,5.85,100.07,apple
50.0,61.0,15.7,28.17,64.0,6.76,83.33,blackgram
20.5,57.1,94.4,19.36,22.46,7.25,75.28,chickpea
21.2,139.2,190.6,16.23,81.02,6.4,76.91,grapes
19.1,140.8,204.7,19.94,80.05,6.14,66.44,grapes
97.5,71.6,51.9,28.43,79.05,5.97,103.01,banana
118.0,41.0,15.0,26.48,78.86,6.96,74.46,cotton
94.2,51.1,39.5,20.68,82.37,6.21,167.32,rice
21.2,12.5,32.8,21.22,87.86,5.87,83.39,pomegranate
16.2,35.1,21.7,29.49,81.16,6.73,50.39,mungbean
107.2,75.4,53.6,30.65,80.18,5.96,104.04,banana
76.4,52.5,41.4,25.66,85.37,6.76,180.89,jute
19.7,44.8,17.4,25.68,77.69,7.2,56.94,mungbean
60.5,54.9,16.8,26.65,57.97,6.38,64.27,maize
27.5,78.5,80.2,20.44,23.6,7.68,67.44,chickpea
39.1,74.9,83.7,23.54,15.32,7.09,60.23,chickpea
36.5,68.9,89.6,20.72,14.66,7.12,98.31,chickpea
17.9,129.8,204.2,20.99,91.68,6.46,113.44,apple
74.9,53.3,36.8,26.52,87.88,6.14,225.09,rice
28.4,63.6,16.5,15.18,22.52,6.14,77.03,kidneybeans
67.1,47.3,46.7,23.4,86.05,6.21,146.71,papaya
116.1,26.6,26.3,26.9,59.44,6.74,157.0,coffee
35.8,67.3,18.1,26.82,67.56,6.48,67.74,blackgram
29.4,55.2,25.0,19.74,23.8,5.79,60.72,kidneybeans
23.5,20.3,30.7,31.12,52.28,6.18,94.27,mango
22.8,26.1,32.6,31.22,48.98,5.54,73.42,mango
25.4,24.6,39.4,26.64,86.0,5.72,200.2,coconut
33.8,53.0,50.8,30.47,86.58,6.86,89.23,papaya
27.5,129.0,199.2,20.61,85.66,5.78,103.84,apple
28.7,71.6,90.9,24.42,16.58,6.8,66.1,chickpea
17.7,23.8,43.6,19.1,88.67,6.43,46.95,pomegranate
22.6,71.4,91.4,20.04,22.53,7.93,68.15,chickpea
94.7,17.8,46.7,27.14,88.21,6.16,28.08,muskmelon
23.8,128.8,197.2,22.39,89.72,6.41,113.01,apple
98.0,19.4,52.8,30.49,90.19,6.86,30.87,muskmelon
90.4,17.9,50.1,28.68,94.74,6.91,27.43,muskmelon
26.4,15.2,33.4,30.79,50.07,6.34,72.53,mango
18.2,23.9,38.7,34.98,54.21,6.97,60.43,mango
123.0,43.2,23.2,23.47,76.97,5.52,79.27,cotton
26.3,22.1,33.3,28.42,86.14,5.63,163.96,coconut
23.9,17.8,31.8,21.7,86.27,6.39,71.19,pomegranate
91.8,38.1,38.8,20.55,75.38,6.94,233.6,rice
105.0,20.2,47.0,28.46,92.92,6.48,33.05,muskmelon
113.6,28.5,28.3,24.25,57.84,6.99,173.94,coffee
49.1,55.7,45.2,34.12,91.03,6.2,141.16,papaya
20.9,48.2,16.6,29.72,60.14,6.02,43.85,mothbeans
89.7,47.8,18.5,21.34,74.75,5.86,103.35,maize
18.5,22.2,33.3,33.32,47.57,6.92,66.79,mango
106.6,15.7,50.9,30.05,87.41,6.17,39.58,muskmelon
36.9,73.5,15.1,21.48,37.5,5.91,124.76,pigeonpeas
20.4,59.7,21.8,31.64,77.14,6.57,53.87,mungbean
117.5,22.0,26.6,22.58,57.52,6.58,171.93,coffee
16.6,140.3,190.6,21.59,81.36,6.87,69.7,grapes
28.2,17.9,30.0,26.46,93.0,6.44,176.81,coconut
114.9,43.0,21.2,23.31,82.69,6.72,79.06,cotton
25.5,73.8,16.0,21.89,39.67,6.15,198.04,pigeonpeas
85.1,47.5,48.0,20.32,79.21,6.93,239.03,rice
19.9,129.5,199.3,22.87,88.92,6.68,116.8,apple
23.4,22.1,30.1,20.24,89.22,5.84,49.97,pomegranate
98.1,22.0,26.1,25.06,57.87,6.27,150.17,coffee
42.0,71.3,85.7,19.59,17.66,7.34,99.77,chickpea
112.4,42.4,18.1,29.08,80.86,6.5,91.95,cotton
76.5,36.8,39.1,23.2,86.7,6.21,166.42,jute
17.3,25.7,35.2,27.24,49.12,6.0,86.78,mango
98.1,90.6,50.2,27.77,78.14,6.26,133.79,banana
32.1,50.3,46.1,26.47,91.27,6.57,107.34,papaya
26.5,129.1,201.0,20.42,92.89,6.19,108.77,apple
40.1,74.8,81.1,17.65,18.43,6.35,87.8,chickpea
69.7,33.4,42.2,22.02,83.72,5.73,198.11,rice
28.7,62.2,18.1,22.94,51.75,6.0,173.27,pigeonpeas
23.4,40.8,20.0,31.31,63.95,4.94,62.15,mothbeans
23.1,37.2,15.6,25.74,83.78,6.82,45.84,mungbean
95.6,54.3,39.1,23.92,88.83,6.53,192.62,jute
16.4,17.1,32.4,18.22,94.47,5.86,53.0,pomegranate
28.5,136.4,203.2,19.85,82.71,6.92,78.0,grapes
20.6,51.5,16.4,29.71,44.63,5.06,45.47,mothbeans
75.7,45.5,44.7,26.47,84.38,6.56,198.73,jute
94.5,63.4,18.7,20.44,67.88,6.37,61.27,maize
27.4,17.2,35.1,28.04,90.59,5.59,199.63,coconut
68.0,40.0,16.0,23.73,69.13,5.84,106.81,maize
39.3,55.7,76.3,20.71,24.0,7.08,79.91,chickpea
99.3,86.6,51.7,26.72,79.6,5.75,102.62,banana
79.7,30.3,39.4,20.39,76.78,5.68,214.92,rice
25.0,18.7,32.3,26.31,93.95,5.87,139.13,coconut
90.7,42.2,39.1,25.62,72.7,6.03,157.64,jute
19.8,18.8,33.0,35.24,46.03,6.91,91.8,mango
90.3,23.4,47.4,30.11,93.11,6.86,39.87,muskmelon
26.6,134.9,199.7,23.03,86.18,6.58,121.17,apple
98.0,92.6,48.2,28.31,75.51,5.56,133.22,banana
32.6,75.4,20.5,31.54,31.81,6.26,171.85,pigeonpeas
51.1,64.9,15.5,29.02,70.11,6.68,82.47,blackgram
24.7,10.9,23.5,30.14,88.14,7.46,108.64,orange
26.8,65.3,77.4,18.45,21.49,6.36,81.01,chickpea
101.2,13.8,47.6,24.31,59.58,6.74,40.95,watermelon
108.2,84.0,49.9,28.03,76.76,6.56,122.51,banana
16.3,144.2,190.6,23.01,90.25,5.98,101.98,apple
28.1,64.2,82.9,22.56,18.27,6.9,69.5,chickpea
92.9,20.3,28.8,27.16,67.05,6.58,176.02,coffee
16.4,64.3,24.4,26.98,53.5,6.45,119.9,pigeonpeas
22.3,11.8,22.7,26.14,87.54,7.3,112.96,orange
24.7,132.4,199.3,22.18,92.4,6.42,116.03,apple
26.3,12.6,30.6,25.2,86.37,5.76,135.44,coconut
37.1,66.8,56.1,30.91,89.07,6.26,147.74,papaya
99.4,19.9,54.0,27.14,69.43,6.42,52.02,watermelon
15.3,55.7,20.2,31.75,45.86,5.19,40.75,mothbeans
35.4,52.2,54.9,30.36,90.31,6.68,110.11,papaya
34.2,73.5,92.6,20.23,17.6,7.34,92.31,chickpea
22.9,20.6,37.2,21.64,94.75,6.95,51.15,pomegranate
33.1,62.2,90.9,21.62,20.98,7.6,75.84,chickpea
37.8,57.1,56.8,28.83,88.35,6.08,100.53,papaya
27.2,64.5,15.9,21.08,74.72,6.44,52.48,lentil
28.4,141.5,191.2,20.43,89.95,6.29,108.25,apple
19.8,22.4,36.3,18.51,87.74,6.97,79.72,pomegranate
37.7,57.7,86.3,19.05,24.59,6.97,92.24,chickpea
29.5,26.3,37.2,27.33,49.68,6.47,93.2,mango
31.2,70.0,85.3,24.36,19.47,7.98,94.06,chickpea
10.6,19.7,33.9,18.37,87.31,6.7,98.86,pomegranate
101.1,12.8,53.6,26.06,58.4,6.48,49.98,watermelon
24.4,67.2,19.0,21.96,24.16,6.12,88.47,kidneybeans
27.5,55.1,23.7,25.42,85.38,6.21,50.4,mungbean
109.1,20.5,51.0,28.22,88.64,6.35,34.55,muskmelon
100.2,11.9,52.4,27.18,58.94,6.38,49.96,watermelon
27.5,70.0,16.1,15.66,24.37,6.17,101.46,kidneybeans
103.6,20.9,54.7,26.82,85.18,6.55,35.6,muskmelon
28.1,20.9,30.0,29.07,48.78,5.98,87.09,mango
88.5,52.8,41.2,25.4,82.41,6.28,192.75,rice
38.8,77.7,20.7,32.62,72.18,6.51,73.01,blackgram
25.1,76.9,92.6,23.96,16.63,6.9,99.4,chickpea
119.9,70.6,46.1,28.66,83.21,5.87,104.35,banana
38.7,77.4,24.7,29.43,64.81,6.79,80.63,blackgram
16.9,64.4,23.0,24.07,64.9,6.34,132.12,pigeonpeas
40.3,47.5,54.1,31.16,91.43,6.86,93.51,papaya
15.4,79.1,17.5,27.46,54.73,6.42,131.29,pigeonpeas
23.3,55.6,21.3,30.49,83.98,6.62,63.95,mungbean
21.3,12.7,38.9,30.34,89.81,6.52,219.73,coconut
106.1,38.3,17.0,28.13,74.43,5.53,97.77,cotton
15.3,135.1,194.2,23.62,81.42,6.69,73.48,grapes
27.7,144.8,200.2,23.75,93.27,6.6,117.07,apple
18.9,61.1,19.6,24.84,63.09,6.56,40.63,lentil
113.7,70.8,54.7,28.16,78.03,5.97,93.98,banana
80.4,39.4,43.1,27.44,87.03,6.43,187.93,jute
15.3,136.8,197.0,21.39,93.62,6.61,100.67,apple
23.6,18.8,31.3,21.15,92.56,6.69,72.09,pomegranate
28.5,123.2,202.4,21.64,94.91,6.11,116.62,apple
20.5,43.9,18.4,28.64,81.61,7.32,52.64,mungbean
92.4,19.7,50.7,28.87,85.32,6.47,38.87,muskmelon
105.0,18.6,33.9,22.43,58.93,6.36,150.85,coffee
91.4,17.2,30.2,26.3,67.85,6.19,180.98,coffee
38.0,78.8,20.8,23.0,57.56,5.88,156.41,pigeonpeas
66.3,41.2,39.9,26.51,89.73,6.44,175.91,jute
15.3,79.1,22.3,17.13,23.81,5.78,103.64,kidneybeans
115.1,76.6,49.5,28.23,81.64,6.52,113.69,banana
95.1,46.8,23.2,21.95,62.54,6.45,75.07,maize
69.0,50.3,41.3,26.67,82.42,6.97,159.86,jute
99.9,50.1,21.0,18.6,70.0,6.09,104.9,maize
36.6,59.5,23.0,25.74,43.88,5.7,186.53,pigeonpeas
20.5,24.2,35.4,30.42,46.08,5.6,83.56,mango
19.4,74.3,20.2,17.44,20.6,5.5,74.99,kidneybeans
17.1,16.7,30.1,23.74,88.6,6.31,85.8,pomegranate
107.4,19.9,48.4,29.47,55.3,6.74,49.74,watermelon
30.2,65.2,18.3,31.93,71.49,6.46,84.35,blackgram
89.5,63.0,24.3,22.06,57.26,7.18,101.94,maize
99.9,46.7,45.4,26.61,87.74,5.87,195.05,rice
20.6,58.2,15.6,24.92,44.07,5.69,43.76,mothbeans
28.4,62.2,18.7,15.41,18.78,6.02,73.38,kidneybeans
22.6,22.2,29.1,27.29,51.05,6.09,71.95,mango
131.9,38.2,19.0,24.17,74.37,5.68,92.23,cotton
58.8,51.4,46.3,23.94,89.26,6.95,63.95,papaya
29.0,38.0,24.3,30.84,53.29,4.57,51.89,mothbeans
113.2,40.8,23.9,22.44,72.65,6.32,79.24,cotton
20.7,54.4,18.4,29.39,77.88,6.22,63.45,mungbean
20.4,11.7,18.5,24.49,89.32,6.95,107.71,orange
67.5,46.4,42.5,24.41,70.4,6.54,197.83,jute
33.0,55.9,15.5,33.34,61.77,6.07,73.14,blackgram
23.2,45.1,20.2,31.98,77.03,7.01,49.9,mungbean
102.2,28.9,30.3,22.59,69.63,6.2,153.26,coffee
108.7,71.4,45.2,27.7,78.33,6.07,105.76,banana
33.2,79.2,17.2,27.28,55.97,6.77,142.26,pigeonpeas
50.3,70.0,55.4,26.7,93.77,6.78,41.7,papaya
26.1,139.2,203.6,21.64,94.53,6.63,108.9,apple
24.0,14.6,43.0,23.35,87.48,5.55,42.64,pomegranate
65.2,36.0,24.2,23.55,70.93,6.47,65.87,maize
24.5,28.7,28.1,33.65,45.79,6.41,66.56,mango
23.6,21.1,32.4,25.2,85.64,6.31,201.88,coconut
26.6,127.2,194.9,22.72,90.63,5.71,109.3,apple
18.6,78.7,18.1,19.52,66.91,5.96,41.05,lentil
61.6,50.3,43.1,25.19,81.09,6.8,180.53,jute
22.0,35.3,15.8,26.59,40.7,5.76,50.66,mothbeans
18.1,70.7,18.6,26.96,67.2,6.23,56.98,lentil
20.3,13.6,25.9,26.26,86.24,6.87,144.03,coconut
40.7,66.7,24.3,31.41,64.67,6.79,61.98,blackgram
95.5,46.6,40.2,24.66,75.53,6.66,155.99,jute
29.9,41.0,23.7,30.81,78.37,6.6,50.24,mungbean
122.3,56.5,23.3,24.26,78.22,5.62,96.61,cotton
97.6,10.1,45.1,27.68,62.33,6.02,53.74,watermelon
16.6,141.5,194.6,23.89,86.18,6.75,102.73,apple
20.6,129.7,191.4,24.15,80.46,6.65,68.26,grapes
24.8,16.7,30.2,30.85,92.58,5.98,140.3,coconut
22.5,143.3,198.7,20.38,82.27,6.21,60.07,grapes
105.4,14.9,47.4,25.35,66.62,6.13,49.08,watermelon
99.5,41.2,37.4,25.69,89.21,6.98,225.34,rice
16.8,16.7,31.2,33.48,52.12,5.77,63.18,mango
20.4,15.1,37.6,27.32,54.4,6.84,81.42,mango
99.8,19.3,32.9,18.79,52.35,6.18,188.74,coffee
11.0,25.0,30.4,23.85,88.65,6.76,76.6,pomegranate
107.7,72.2,49.3,26.05,84.87,6.23,131.25,banana
22.7,124.1,204.7,16.08,84.66,6.91,70.51,grapes
68.6,57.2,44.9,23.43,87.25,6.39,176.2,jute
10.3,15.1,12.2,24.33,94.05,6.06,106.59,orange
103.2,51.4,21.5,22.76,74.78,6.99,87.14,cotton
24.9,17.4,35.3,28.28,49.25,5.87,89.94,mango
51.8,66.9,53.2,25.86,93.51,6.56,62.75,papaya
96.4,12.5,47.6,25.25,92.04,6.49,26.41,muskmelon
18.2,51.6,19.1,28.02,62.11,6.29,62.73,mothbeans
95.7,50.9,41.9,26.34,78.99,6.69,153.49,jute
20.7,62.7,89.1,18.61,21.41,7.94,63.76,chickpea
29.4,51.7,24.3,26.65,55.29,5.86,47.94,mothbeans
16.2,16.7,39.0,18.5,87.27,6.9,103.13,pomegranate
98.0,18.7,54.5,24.55,62.61,6.33,50.17,watermelon
15.8,36.3,21.9,28.58,45.66,5.73,46.32,mothbeans
130.5,39.2,21.3,22.69,84.2,5.94,69.06,cotton
39.6,66.5,58.9,32.92,88.34,6.27,100.41,papaya
96.5,17.1,51.0,31.89,69.07,6.86,57.78,watermelon
28.8,45.2,16.4,31.15,47.33,5.55,57.45,mothbeans
85.3,49.0,40.7,20.63,87.53,5.98,168.65,rice
15.6,20.1,33.1,28.11,91.34,6.74,172.77,coconut
25.2,49.4,19.3,26.76,59.21,4.95,57.31,mothbeans
19.1,40.4,21.6,30.34,54.84,4.53,58.22,mothbeans
90.9,38.9,24.7,22.08,59.72,5.9,68.49,maize
77.4,42.0,42.3,24.45,75.68,6.06,212.59,rice
78.1,39.9,22.9,24.24,59.42,5.92,94.02,maize
23.8,14.1,25.5,30.75,87.76,6.69,158.82,coconut
