Age,Gender,Department,JobRole,MonthlyIncome,Education,BusinessTravel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,OverTime,YearsAtCompany,TotalWorkingYears,DistanceFromHome,PerformanceRating,MaritalStatus,Attrition
24,Male,Research & Development,Manager,14825.0,5,Travel_Rarely,1,2,4,No,0,3.0,1.0,3,Married,Yes
33,Male,Sales,Sales Executive,7470.0,3,Travel_Rarely,2,1,3,Yes,0,2.0,2.0,3,Married,Yes
34,Female,Research & Development,Healthcare Representative,9719.0,3,Travel_Frequently,2,1,4,Yes,21,30.0,1.0,3,Divorced,Yes
44,Female,Sales,Sales Representative,7035.0,2,Travel_Frequently,2,3,3,No,6,9.0,14.0,3,Married,Yes
32,Female,Research & Development,Laboratory Technician,2330.0,4,Non-Travel,3,4,1,No,5,6.0,5.0,3,Divorced,Yes
39,Male,Research & Development,Research Scientist,6420.0,5,Travel_Frequently,3,2,4,Yes,0,4.0,5.0,3,Single,Yes
35,Female,Research & Development,Sales Executive,5298.0,2,Travel_Rarely,2,1,1,Yes,12,20.0,1.0,3,Single,No
31,Female,Sales,Research Director,9707.0,4,Travel_Rarely,2,1,2,Yes,23,30.0,22.0,3,Married,Yes
37,Female,Sales,Laboratory Technician,8374.0,3,Travel_Rarely,1,3,4,No,0,9.0,5.0,3,Divorced,No
57,Male,Research & Development,Human Resources,3836.0,4,Travel_Frequently,3,1,4,Yes,0,8.0,1.0,4,Single,No
35,Female,Sales,Manager,10036.0,3,Non-Travel,4,4,1,No,23,24.0,5.0,3,Married,No
48,Male,Research & Development,Sales Executive,1972.0,4,Travel_Frequently,4,4,1,Yes,0,8.0,21.0,3,Married,No
35,Male,Sales,Sales Representative,7418.0,1,Travel_Rarely,1,1,4,Yes,1,1.0,6.0,3,Married,Yes
35,Male,Research & Development,Human Resources,7258.0,5,Travel_Rarely,4,3,2,No,7,10.0,9.0,3,Single,No
38,Male,Sales,Research Director,4264.0,4,Non-Travel,3,1,2,No,8,17.0,1.0,3,Married,No
48,Male,Sales,Research Scientist,6930.0,4,Travel_Rarely,3,3,3,No,0,4.0,19.0,4,Divorced,No
50,Female,Research & Development,Research Scientist,1493.0,4,Travel_Rarely,4,4,2,Yes,0,7.0,11.0,3,Married,Yes
38,Female,Research & Development,Sales Representative,9336.0,2,Travel_Rarely,4,1,2,Yes,0,5.0,6.0,3,Married,Yes
19,Female,Research & Development,Research Scientist,16389.0,2,Travel_Rarely,1,4,2,No,6,8.0,1.0,3,Divorced,Yes
58,Female,Sales,Research Director,6409.0,1,Travel_Rarely,2,1,1,No,0,3.0,3.0,3,Divorced,No
28,Female,Sales,Sales Executive,7342.0,3,Travel_Rarely,1,2,4,No,6,9.0,3.0,3,Single,No
48,Female,Research & Development,Human Resources,7290.0,2,Travel_Rarely,2,2,4,Yes,0,2.0,1.0,4,Single,No
31,Male,Sales,Manager,2767.0,5,Travel_Frequently,3,4,2,No,1,6.0,1.0,3,Married,No
45,Female,Research & Development,Manufacturing Director,9992.0,3,Travel_Rarely,3,4,1,No,6,9.0,16.0,4,Married,No
22,Female,Sales,Research Scientist,12007.0,2,Travel_Rarely,4,2,3,No,2,,1.0,4,Married,Yes
35,Female,Research & Development,Manufacturing Director,10749.0,3,Travel_Rarely,3,1,1,No,9,13.0,3.0,3,Single,Yes
41,Male,Sales,Human Resources,1000.0,3,Travel_Rarely,4,2,4,No,4,8.0,6.0,3,Married,No
38,Male,Sales,Research Scientist,10857.0,5,Travel_Rarely,1,4,2,Yes,0,5.0,1.0,3,Single,Yes
43,Female,Human Resources,Research Scientist,1000.0,3,Travel_Rarely,2,4,3,Yes,1,2.0,1.0,3,Divorced,Yes
31,Male,Human Resources,Research Scientist,14156.0,3,Travel_Frequently,3,2,2,No,4,11.0,15.0,3,Single,No
38,Female,Research & Development,Research Scientist,6243.0,4,Travel_Frequently,1,3,1,Yes,5,10.0,3.0,3,Married,No
34,Male,Sales,Manager,12002.0,3,Travel_Rarely,1,4,2,No,5,13.0,7.0,3,Married,Yes
34,Female,Research & Development,Human Resources,10427.0,3,Travel_Rarely,1,1,2,Yes,0,4.0,2.0,3,Married,Yes
44,Male,Sales,Sales Representative,10417.0,3,Travel_Frequently,1,4,3,Yes,13,16.0,21.0,3,Single,Yes
36,Male,Human Resources,Laboratory Technician,3184.0,4,Travel_Rarely,1,4,2,Yes,0,9.0,12.0,3,Single,No
29,Female,Research & Development,Research Director,5898.0,3,Travel_Rarely,1,3,2,No,10,18.0,12.0,3,Single,No
34,Male,Sales,Healthcare Representative,10779.0,4,Travel_Rarely,1,2,3,No,3,4.0,1.0,3,Divorced,No
25,Male,Research & Development,Sales Representative,7077.0,3,Travel_Rarely,2,1,1,Yes,0,2.0,7.0,3,Married,Yes
33,Female,Sales,Laboratory Technician,1000.0,5,Travel_Frequently,4,4,1,No,1,8.0,3.0,3,Married,Yes
41,Female,Sales,Healthcare Representative,10361.0,2,Travel_Rarely,3,2,4,No,2,7.0,1.0,3,Married,No
38,Female,Research & Development,Manufacturing Director,6941.0,4,Travel_Rarely,2,2,2,No,7,7.0,2.0,4,Married,Yes
30,Female,Research & Development,Manager,9657.0,2,Travel_Frequently,4,1,1,No,7,8.0,1.0,3,Single,Yes
23,Male,Research & Development,Laboratory Technician,2086.0,3,Travel_Rarely,3,2,3,No,4,7.0,1.0,4,Single,No
45,Female,Research & Development,Laboratory Technician,5338.0,4,Travel_Rarely,1,3,1,Yes,0,2.0,3.0,4,Married,No
38,Female,Research & Development,Sales Executive,12060.0,2,Travel_Rarely,1,2,1,No,0,4.0,1.0,3,Divorced,Yes
36,Male,Human Resources,Manufacturing Director,8446.0,3,Travel_Rarely,2,4,1,Yes,4,10.0,1.0,3,Married,No
36,Male,Research & Development,Human Resources,1576.0,1,Travel_Frequently,2,3,3,No,0,3.0,8.0,3,Single,Yes
41,Female,Sales,Healthcare Representative,2388.0,4,Travel_Rarely,1,3,3,No,3,9.0,10.0,3,Single,Yes
18,Male,Research & Development,Sales Representative,6935.0,2,Non-Travel,2,1,1,Yes,0,3.0,3.0,3,Married,Yes
30,Female,Sales,Manufacturing Director,4667.0,2,Travel_Rarely,3,1,1,No,3,7.0,25.0,3,Single,No
38,Female,Sales,Research Scientist,15129.0,3,Travel_Frequently,4,1,3,No,2,4.0,1.0,4,Married,Yes
46,Male,Sales,Healthcare Representative,8801.0,3,Travel_Rarely,3,2,4,No,7,13.0,12.0,3,Married,Yes
38,Female,Sales,Sales Executive,10484.0,3,Travel_Rarely,2,3,1,Yes,1,9.0,8.0,3,Single,No
31,Female,Sales,Healthcare Representative,10211.0,5,Travel_Rarely,4,4,2,Yes,2,9.0,7.0,3,Married,No
45,Female,Sales,Healthcare Representative,6316.0,1,Travel_Frequently,2,4,2,No,9,17.0,6.0,3,Single,No
40,Male,Research & Development,Manager,12896.0,4,Travel_Rarely,4,1,1,Yes,0,3.0,13.0,3,Married,Yes
43,Male,Research & Development,Laboratory Technician,8762.0,3,Travel_Frequently,3,1,4,No,0,9.0,1.0,3,Married,No
35,Female,Research & Development,Human Resources,3097.0,3,Travel_Rarely,3,3,3,No,2,10.0,6.0,3,Married,No
27,Male,Research & Development,Laboratory Technician,13407.0,4,Travel_Rarely,1,2,1,Yes,0,9.0,7.0,3,Married,Yes
32,Female,Research & Development,Healthcare Representative,16732.0,3,Travel_Rarely,4,4,2,No,4,6.0,2.0,3,Married,No
31,Male,Research & Development,Laboratory Technician,1933.0,2,Travel_Rarely,2,3,4,Yes,8,16.0,21.0,3,Married,No
33,Female,Human Resources,Sales Representative,7546.0,3,Travel_Rarely,1,4,1,No,0,0.0,7.0,3,Married,No
25,Female,Research & Development,Healthcare Representative,10136.0,1,Travel_Frequently,3,1,4,No,7,12.0,2.0,3,Married,No
34,Female,Sales,Manager,6426.0,2,Travel_Rarely,4,2,4,No,2,11.0,14.0,3,Single,No
55,Female,Sales,Sales Representative,5896.0,4,Travel_Rarely,4,3,4,No,0,7.0,2.0,3,Divorced,No
27,Female,Sales,Laboratory Technician,8768.0,5,Travel_Rarely,1,1,1,Yes,6,15.0,1.0,3,Married,Yes
18,Male,Research & Development,Manager,8705.0,3,Travel_Rarely,2,4,1,No,3,5.0,8.0,3,Single,No
35,Female,Research & Development,Sales Executive,11999.0,2,Travel_Rarely,4,2,3,No,7,14.0,1.0,3,Single,No
40,Female,Sales,Laboratory Technician,6833.0,3,Travel_Rarely,4,3,1,No,0,4.0,26.0,3,Married,Yes
40,Male,Sales,Human Resources,11973.0,3,Travel_Frequently,4,2,2,No,4,5.0,3.0,4,Divorced,Yes
33,Male,Research & Development,Healthcare Representative,14750.0,1,Travel_Frequently,4,3,2,No,22,28.0,1.0,3,Single,No
40,Male,Research & Development,Human Resources,3410.0,4,Travel_Rarely,2,1,3,Yes,9,12.0,20.0,3,Married,Yes
46,Female,Research & Development,Healthcare Representative,4106.0,5,Travel_Rarely,2,2,3,No,4,9.0,10.0,3,Married,Yes
34,Female,Sales,Sales Representative,3798.0,2,Travel_Rarely,1,4,3,Yes,5,8.0,16.0,3,Married,No
32,Male,Research & Development,Laboratory Technician,9937.0,1,Travel_Rarely,2,4,2,No,9,16.0,1.0,3,Married,No
36,Female,Human Resources,Sales Representative,5288.0,2,Travel_Rarely,2,3,3,No,8,11.0,30.0,3,Married,No
57,Female,Sales,Manager,,4,Non-Travel,1,3,2,No,0,3.0,16.0,4,Single,Yes
48,Female,Sales,Laboratory Technician,6958.0,2,Travel_Frequently,1,3,1,Yes,8,10.0,5.0,3,Married,Yes
36,Female,Sales,Research Director,6189.0,4,Travel_Rarely,3,3,4,Yes,2,4.0,8.0,4,Married,No
57,Female,Research & Development,Research Scientist,6928.0,3,Travel_Rarely,2,3,4,Yes,3,11.0,3.0,3,Single,Yes
43,Male,Research & Development,Sales Executive,10837.0,3,Travel_Rarely,3,2,2,Yes,8,8.0,7.0,3,Single,Yes
36,Male,Sales,Sales Executive,10804.0,3,Travel_Rarely,4,4,1,No,4,4.0,13.0,4,Married,No
31,Female,Research & Development,Sales Executive,1000.0,2,Travel_Rarely,4,1,1,No,1,9.0,22.0,3,Married,Yes
36,Female,Sales,Human Resources,6575.0,3,Travel_Frequently,4,2,3,No,3,,6.0,3,Single,No
31,Male,Sales,Healthcare Representative,7139.0,2,Travel_Rarely,1,2,4,No,9,12.0,8.0,3,Single,No
49,Male,Research & Development,Human Resources,5499.0,3,Travel_Rarely,4,4,2,No,0,0.0,5.0,3,Single,No
38,Male,Sales,Research Scientist,1000.0,1,Travel_Rarely,1,1,2,No,3,6.0,6.0,3,Single,Yes
37,Male,Sales,Manager,8172.0,5,Travel_Rarely,3,2,2,No,3,12.0,18.0,3,Divorced,No
33,Female,Research & Development,Manufacturing Director,17031.0,2,Travel_Rarely,3,3,3,No,1,3.0,1.0,3,Married,No
38,Male,Research & Development,Research Director,11540.0,5,Travel_Rarely,2,3,4,No,25,26.0,7.0,3,Married,Yes
25,Male,Research & Development,Manager,7514.0,3,Travel_Frequently,1,2,3,No,0,7.0,2.0,4,Divorced,Yes
40,Female,Research & Development,Manager,6382.0,3,Travel_Rarely,2,3,1,No,2,10.0,3.0,3,Divorced,No
21,Male,Research & Development,Laboratory Technician,5710.0,4,Travel_Rarely,1,1,4,Yes,1,3.0,4.0,3,Married,No
36,Male,Sales,Laboratory Technician,4945.0,3,Travel_Rarely,2,1,4,No,2,4.0,1.0,4,Single,Yes
44,Male,Sales,Healthcare Representative,3934.0,4,Travel_Frequently,4,1,3,No,6,13.0,4.0,3,Single,No
55,Male,Human Resources,Research Scientist,9638.0,1,Travel_Rarely,2,4,2,Yes,3,12.0,2.0,3,Single,Yes
48,Female,Sales,Research Director,3344.0,2,Non-Travel,3,1,3,Yes,5,9.0,1.0,3,Married,No
42,Female,Sales,Manufacturing Director,3102.0,3,Non-Travel,4,2,2,No,1,5.0,13.0,3,Married,Yes
32,Male,Sales,Research Scientist,7840.0,1,Travel_Rarely,3,1,3,Yes,7,8.0,2.0,3,Single,No
29,Male,Research & Development,Laboratory Technician,11002.0,3,Travel_Frequently,4,4,2,No,2,2.0,3.0,4,Married,No
37,Male,Sales,Sales Representative,8700.0,2,Travel_Rarely,3,1,4,No,1,5.0,5.0,3,Divorced,Yes
18,Female,Sales,Research Scientist,6379.0,3,Travel_Frequently,1,4,3,No,2,5.0,15.0,3,Married,Yes
36,Male,Research & Development,Research Scientist,9191.0,2,Travel_Rarely,2,4,4,No,6,11.0,6.0,3,Single,No
41,Male,Sales,Healthcare Representative,8858.0,3,Travel_Rarely,2,4,2,Yes,0,9.0,1.0,3,Single,No
40,Male,Human Resources,Manager,5424.0,2,Travel_Rarely,4,2,4,Yes,0,8.0,1.0,3,Single,Yes
37,Female,Research & Development,Healthcare Representative,12696.0,3,Travel_Frequently,3,3,1,No,8,14.0,12.0,3,Married,Yes
35,Female,Research & Development,Sales Representative,9896.0,5,Travel_Rarely,4,4,4,No,16,21.0,3.0,3,Single,Yes
48,Male,Sales,Healthcare Representative,8730.0,3,Travel_Frequently,3,4,3,Yes,2,5.0,3.0,3,Married,No
33,Female,Sales,Manufacturing Director,1000.0,4,Travel_Rarely,2,1,2,Yes,1,6.0,11.0,3,Single,Yes
46,Female,Sales,Sales Executive,7227.0,2,Travel_Frequently,2,3,3,Yes,16,19.0,24.0,4,Married,Yes
39,Male,Human Resources,Sales Representative,7258.0,5,Travel_Rarely,3,1,3,No,5,9.0,24.0,4,Married,No
30,Female,Research & Development,Sales Representative,10691.0,4,Travel_Frequently,2,2,1,No,0,9.0,12.0,3,Married,Yes
41,Female,Sales,Healthcare Representative,4270.0,4,Non-Travel,4,1,2,No,12,14.0,5.0,3,Married,No
36,Female,Sales,Research Scientist,3810.0,5,Travel_Rarely,1,3,2,No,1,10.0,16.0,4,Single,Yes
42,Male,Sales,Research Scientist,2158.0,3,Travel_Rarely,4,3,1,No,7,9.0,1.0,3,Divorced,No
49,Male,Research & Development,Research Scientist,4361.0,2,Travel_Rarely,1,4,3,No,0,8.0,3.0,3,Divorced,No
36,Male,Sales,Research Scientist,3888.0,4,Travel_Rarely,1,3,1,Yes,2,6.0,3.0,3,Married,Yes
35,Male,Human Resources,Sales Representative,4290.0,2,Non-Travel,4,3,4,Yes,6,11.0,10.0,3,Married,No
49,Male,Research & Development,Laboratory Technician,4658.0,5,Travel_Frequently,3,4,4,No,3,10.0,8.0,3,Married,No
41,Male,Sales,Manager,4222.0,2,Travel_Rarely,4,3,1,Yes,4,4.0,5.0,3,Married,Yes
45,Male,Sales,Sales Representative,4828.0,1,Non-Travel,1,1,2,No,19,21.0,1.0,3,Married,Yes
20,Female,Sales,Manufacturing Director,8472.0,3,Non-Travel,4,3,4,No,4,5.0,4.0,3,Married,No
48,Male,Sales,Healthcare Representative,9295.0,2,Travel_Frequently,3,3,4,Yes,10,18.0,1.0,3,Single,No
46,Male,Sales,Sales Representative,8968.0,3,Travel_Frequently,3,3,2,Yes,0,0.0,6.0,3,Single,Yes
23,Male,Research & Development,Healthcare Representative,4356.0,3,Travel_Rarely,2,2,3,No,20,23.0,8.0,3,Single,No
33,Male,Sales,Human Resources,7541.0,5,Non-Travel,1,2,1,Yes,3,11.0,10.0,3,Married,Yes
22,Female,Research & Development,Laboratory Technician,2812.0,3,Travel_Frequently,3,3,3,Yes,12,15.0,2.0,3,Married,Yes
25,Female,Research & Development,Manager,9818.0,2,Travel_Rarely,1,4,4,No,3,4.0,16.0,4,Single,Yes
40,Female,Research & Development,Human Resources,7068.0,3,Travel_Frequently,1,4,3,No,2,11.0,10.0,3,Married,No
29,Female,Research & Development,Human Resources,11185.0,3,Travel_Rarely,1,3,1,No,27,27.0,6.0,3,Married,No
26,Male,Research & Development,Sales Executive,3705.0,2,Non-Travel,1,2,3,Yes,4,5.0,3.0,3,Divorced,Yes
20,Female,Sales,Manager,6280.0,4,Travel_Rarely,2,4,3,No,2,7.0,12.0,3,Divorced,No
34,Female,Sales,Manufacturing Director,1885.0,4,Travel_Rarely,3,2,4,No,0,3.0,7.0,3,Married,Yes
30,Male,Sales,Research Scientist,2892.0,3,Travel_Frequently,1,4,1,Yes,1,5.0,10.0,3,Married,Yes
34,Female,Sales,Research Director,1000.0,4,Non-Travel,4,1,1,No,12,16.0,3.0,3,Married,No
46,Male,Sales,Human Resources,1000.0,4,Travel_Rarely,1,4,3,No,2,7.0,2.0,3,Married,No
50,Male,Sales,Research Director,6893.0,4,Travel_Rarely,2,1,2,Yes,0,9.0,17.0,3,Married,Yes
34,Male,Sales,Sales Representative,5149.0,2,Travel_Rarely,2,3,2,No,4,12.0,4.0,3,Married,Yes
46,Female,Sales,Manager,5064.0,5,Travel_Rarely,1,4,1,No,0,9.0,5.0,3,Married,No
41,Male,Sales,Laboratory Technician,11837.0,3,Travel_Rarely,4,2,4,No,6,14.0,6.0,3,Married,No
48,Male,Research & Development,Laboratory Technician,5052.0,3,Non-Travel,2,2,1,No,11,12.0,1.0,4,Married,No
31,Female,Research & Development,Manager,7345.0,3,Travel_Frequently,3,2,1,No,0,7.0,1.0,3,Married,No
48,Male,Sales,Research Scientist,5664.0,1,Travel_Frequently,1,4,3,Yes,4,12.0,7.0,3,Married,No
26,Male,Sales,Sales Representative,6729.0,3,Travel_Rarely,2,1,2,No,7,9.0,4.0,3,Divorced,Yes
39,Male,Research & Development,Manager,11977.0,2,Travel_Rarely,2,2,2,No,3,3.0,7.0,3,Married,No
36,Female,Research & Development,Laboratory Technician,8673.0,5,Travel_Rarely,1,2,1,No,3,6.0,13.0,3,Married,No
48,Female,Sales,Healthcare Representative,3934.0,2,Travel_Rarely,2,2,1,No,1,5.0,7.0,4,Married,Yes
37,Male,Human Resources,Research Director,1000.0,3,Non-Travel,4,3,1,No,0,3.0,18.0,4,Married,Yes
26,Male,Sales,Manufacturing Director,5736.0,1,Travel_Rarely,2,2,3,No,4,7.0,1.0,3,Married,No
45,Female,Sales,Manufacturing Director,7822.0,5,Travel_Frequently,3,2,2,Yes,4,6.0,16.0,3,Married,Yes
49,Male,Human Resources,Manufacturing Director,6016.0,5,Travel_Rarely,4,3,1,No,5,6.0,,4,Married,Yes
38,Female,Sales,Laboratory Technician,6716.0,4,Travel_Frequently,1,3,4,No,3,3.0,14.0,3,Single,No
48,Female,Research & Development,Manufacturing Director,6674.0,3,Travel_Rarely,1,2,1,No,5,10.0,7.0,3,Married,Yes
36,Female,Human Resources,Manufacturing Director,4693.0,4,Travel_Frequently,2,3,3,No,18,25.0,1.0,3,Single,No
37,Male,Research & Development,Manufacturing Director,3219.0,3,Travel_Rarely,2,2,1,Yes,2,3.0,4.0,3,Married,Yes
48,Male,Research & Development,Research Director,1000.0,2,Non-Travel,3,4,3,No,1,8.0,1.0,3,Married,Yes
38,Female,Research & Development,Research Scientist,10024.0,2,Non-Travel,2,3,3,No,4,8.0,5.0,3,Single,No
35,Male,Sales,Human Resources,10643.0,4,Travel_Rarely,2,1,2,No,4,6.0,30.0,3,Single,No
40,Female,Sales,Research Scientist,14923.0,3,Travel_Rarely,4,3,1,No,2,8.0,9.0,3,Married,No
52,Female,Research & Development,Manager,6797.0,2,Travel_Rarely,1,1,4,Yes,0,7.0,1.0,3,Single,Yes
33,Male,Research & Development,Sales Representative,2080.0,3,Travel_Frequently,3,4,3,No,6,10.0,1.0,3,Single,Yes
33,Female,Research & Development,Research Scientist,8655.0,1,Travel_Rarely,1,2,4,No,2,2.0,2.0,3,Divorced,No
42,Male,Human Resources,Sales Representative,9958.0,4,Travel_Rarely,2,3,1,No,2,3.0,1.0,3,Single,Yes
58,Male,Research & Development,Healthcare Representative,7385.0,1,Non-Travel,1,1,4,No,28,30.0,11.0,3,Single,No
35,Female,Sales,Sales Executive,1485.0,1,Travel_Rarely,3,1,1,Yes,5,9.0,14.0,4,Married,Yes
33,Female,Research & Development,Laboratory Technician,12758.0,3,Travel_Rarely,1,3,2,No,13,13.0,8.0,3,Single,Yes
51,Female,Sales,Manufacturing Director,10465.0,3,Travel_Frequently,2,4,3,Yes,1,1.0,1.0,4,Married,No
36,Female,Sales,Human Resources,9305.0,2,Travel_Rarely,3,4,3,No,2,3.0,1.0,3,Single,No
43,Male,Human Resources,Healthcare Representative,5717.0,4,Travel_Rarely,3,2,3,No,11,17.0,2.0,3,Single,No
38,Male,Sales,Sales Executive,6807.0,4,Travel_Rarely,1,1,4,Yes,3,12.0,1.0,3,Married,Yes
